Article,Abstract,Core sentence from abstract,,(In)correct,,Core sentence from article,,,(In)correct,,Similar?,Claim?,Multiple sentences?,,Use for AIDA rewrite?
/articles.txt.I-N/Inj_Epidemiol/Inj_Epidemiol_2016_Jan_5_3_1.txt,"Identifying fall-related injuries and costs using healthcare claims data is cost-effective and easier to implement than using medical records or patient self-report to track falls. We developed a comprehensive four-step algorithm for identifying episodes of care for fall-related injuries and associated costs, using fee-for-service Medicare and Medicare Advantage health plan claims data for 2,011 patients from 5 medical groups between 2005 and 2009. First, as a preparatory step, we identified care received in acute inpatient and skilled nursing facility settings, in addition to emergency department visits. Second, based on diagnosis and procedure codes, we identified all fall-related claim records. Third, with these records, we identified six types of encounters for fall-related injuries, with different levels of injury and care. In the final step, we used these encounters to identify episodes of care for fall-related injuries. To illustrate the algorithm, we present a representative example of a fall episode and examine descriptive statistics of injuries and costs for such episodes. Altogether, we found that the results support the use of our algorithm for identifying episodes of care for fall-related injuries. When we decomposed an episode, we found that the details present a realistic and coherent story of fall-related injuries and healthcare services. Variation of episode characteristics across medical groups supported the use of a complex algorithm approach, and descriptive statistics on the proportion, duration, and cost of episodes by healthcare services and injuries verified that our results are consistent with other studies. This algorithm can be used to identify and analyze various types of fall-related outcomes including episodes of care, injuries, and associated costs. Furthermore, the algorithm can be applied and adopted in other fall-related studies with relative ease.","altogether, we found that the results support the use of our algorithm for identifying episodes of care for fall-related injuries.",,Correct,,"altogether, we found that the results support the use of our algorithm for identifying episodes of care for fall-related injuries.",,,Correct,,Yes,Yes,No,,Yes
/articles.txt.I-N/J_Homosex/J_Homosex_2013_Oct_23_60(10)_1434-1449.txt,"This study examined lay theories regarding gender identity disorder (GID). Pilot interviews were completed with participants (n = 10) regarding their views on possible causes and treatments of GID. Participants (mainly young British people and students; n = 124) then completed a questionnaire that was based on the interviews and a review of the salient literature on lay theories. As hypothesized, participants believed most in biomedical causes and treatments of GID. Factor analysis (with varimax rotation) identified 4 factors in relation to causes of GID: upbringing and personal factors, pregnancy and brain abnormalities, environmental factors, and biomedical causes. Five factors that were identified in relation to the cure/treatment of GID were psychological assistance and personal factors, extreme medical and behavioral changes, alternative therapies, external factors, and medical treatments. The results indicated that participants neither agreed nor strongly disagreed about causes and cures regarding GID, but that these beliefs were logically related. Limitations, particularly of sampling, were considered.","the results indicated that participants neither agreed nor strongly disagreed about causes and cures regarding gid, but that these beliefs were logically related.",,Correct,,"discussion\nthe results do not support h1, and show that participants generally favored biomedical factors as perceived causes and cures/treatments of gid.",,,Correct,,No,Yes,Yes,,Yes
/articles.txt.I-N/J_Infect/J_Infect_2015_Sep_71(3)_338-346.txt,"We set out to investigate the impact of common antibiotics on Panton–Valentine Leucocidin (PVL) expression by methicillin-sensitive Staphylococcus aureus (MSSA). PVL expression by methicillin-resistant S. aureus (MRSA) is reportedly enhanced by ?-lactams, but inhibited by protein-synthesis inhibitors, a fact that has influenced management of infections associated with PVL. Although PVL is more frequently associated with MSSA than MRSA in the UK, the effect of antibiotics on PVL expression by MSSA has not been fully addressed. MSSA was cultured in vitro with varying concentrations of flucloxacillin, clindamycin or linezolid and PVL expression measured by qRT-PCR and Western blotting. A murine MSSA abscess model was developed to measure leucocidin expression in vivo following antibiotic treatment. 9% (27/314) of MSSA isolates from patients with uncomplicated community skin/soft tissue infections were positive for PVL genes (lukFS-PV). PVL expression by MSSA in broth was unaffected by varying concentrations of flucloxacillin, clindamycin or linezolid. In a murine abscess model, treatment with flucloxacillin did, however, enhance in vivo MSSA lukF-PV transcription and this was sustained even when flucloxacillin was combined with clindamycin, or clindamycin plus linezolid. Notwithstanding increased leucocidin transcription, functional leucotoxin activity was not enhanced. Treatment with flucloxacillin plus clindamycin significantly decreased leucotoxin activity, but the addition of a second protein synthesis inhibitor, linezolid, did not confer benefit. Our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin would give the best treatment outcome.",our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin would give the best treatment outcome.,,Correct,,"it has been shown previously that linezolid and clindamycin act synergistically to reduce toxin expression.21 our study, although limited by a single mssa strain, does however suggests that, at least in the presence of flucloxacillin, this may not be the case.",,,Correct,,No,Yes,Yes,,Yes
/articles.txt.I-N/J_Immigr_Minor_Health/J_Immigr_Minor_Health_2015_May_1_17(2)_467-473.txt,"This study compares eating habits among obese and non-obese Filipinas living in an urban area of Japan. We used self-report questionnaires to study 635 Filipinos. Body mass index (BMI) and eating/lifestyle habits were noted. Obesity was defined as BMI ?25 kg/m2. Seventeen percent (24/140) were obese. Results of the age-adjusted multiple logistic regression analysis show that the following responses were associated with obesity: “frequency of eating high green and yellow vegetables” (every day: 0, not every day: 1) [OR 4.9; 95 % confidence interval (CI) 1.6–14.8] and “frequency of eating high fruits” (every day: 0, not every day: 1) (OR .2; 95 % CI .1–.7). We suggest strategies to prevent obesity and improve eating habits among this Filipina population.",we suggest strategies to prevent obesity and improve eating habits among this Filipina population.,,Correct,,"these findings reveal that the filipinas living in japan who participated in our study have lived in japan for a relatively long period of time, are mostly middle-aged, and generally perceive their financial status as above average.",,,Incorrect,,No,Yes,No,,
/articles.txt.I-N/J_Eur_Soc_Policy/J_Eur_Soc_Policy_2015_Dec_25(5)_489-504.txt,"Studies analysing welfare have previously focused on countries as units. In the course of pension cuts and the increasing importance of occupational welfare, our traditional understanding of a homogeneous welfare state is being challenged. In this article, I distinguish between both economic individual power (employee skills) and political collective power (trade unions), and their relation with different occupational pensions. A combined analysis by both factors is not common, where employee skills and power resources are traditionally treated as separate, rival explanations of public welfare. Combining the ‘method of difference’ with the ‘method of agreement’, the article first presents the within-country variety of occupational pensions in Germany, Italy, the United Kingdom and Denmark. Occupational pensions in the same economic sectors across countries are then used as the units of analysis in order to illustrate the plausible determinants of economic individual power and political collective power.",occupational pensions in the same economic sectors across countries are then used as the units of analysis in order to illustrate the plausible determinants of economic individual power and political collective power.,,Correct,,conclusion\nthe analysis in this article provides a detailed comparison of occupational pension systems and the situation of different employee groups in the selected countries.,,,Incorrect,,No,No,Yes,,
/articles.txt.I-N/J_Eat_Disord/J_Eat_Disord_2015_Mar_31_3_11.txt,"In contrast to other mental health disorders, eating disorders have a high prevalence of concomitant medical complications. Specifically, patients suffering from anorexia nervosa (AN) have a litany of medical complications which are commonly present as part of their eating disorders. Almost every body system can be adversely, affected by this state of progressive malnutrition. Moreover, some of the complications can have permanent adverse effects even after there is a successful program of nutritional rehabilitation and weight restoration. Within this article we will review all body systems affected by AN. There is also salient information about both, how to diagnose these medical complications and which are the likely ones to result in permanent sequelae if not diagnosed and addressed early in the course of AN. In a subsequent article, the definitive medical treatment for these complications will be presented in a clinically practical manner.","specifically, patients suffering from anorexia nervosa (an) have a litany of medical complications which are commonly present as part of their eating disorders.",,Incorrect,,a bedside swallow evaluation by a speech therapist and/or a video fluoroscopic swallow study can confirm the diagnosis.,,,Incorrect,,No,No,No,,
/articles.txt.I-N/J_Kidney/J_Kidney_2016_Feb_27_2(1)_114.txt,"Long-term renal function is compromised in patients receiving deceased donor kidneys which require cold storage exposure prior to transplantation. It is well established that extended cold storage induces renal damage and several labs, including our own, have demonstrated renal mitochondrial damage after cold storage alone. However, to our knowledge, few studies have assessed renal and mitochondrial function after transplantation of rat kidneys exposed to short-term (4 hr) cold storage compared to transplant without cold storage (autotransplantation). Our data reveal that cold storage plus transplantation exacerbated renal and mitochondrial dysfunction when compared to autotransplantation alone.",our data reveal that cold storage plus transplantation exacerbated renal and mitochondrial dysfunction when compared to autotransplantation alone.,,Correct,,these data suggest that short-term (4 hr) cs negatively impacts mitochondrial function following transplantation.,,,Correct,,No,Yes,No,,Yes
/articles.txt.I-N/J_Headache_Pain/J_Headache_Pain_2001_Jun_2(1)_13-19.txt,"Anti-epileptic drugs are employed for the prophylactic treatment of migraine. Valproic acid and its sodium salt (divalproex) have been shown to be effective in preventing migraine in double-blind placebo-controlled studies. Gabapentin and lamotrigine have also been proposed for migraine prophylaxis, but more extensive studies are needed to confirm their efficacies. The main mechanism of action of anti-epileptic drugs is the inhibition of the sodium channel to induce a depolarization, preventing the high, frequent action potentials typically excited by convulsive attacks. Moreover, valproate and gabapentin increase brain concentrations of GABA and, probably, inhibit the degradation of GABA. Other proposed mechanisms of action for valproate are a direct effect on neuronal membranes and a reduction of excitatory transmission by aspartate. Valproate, at the recommended dose of 500 mg twice daily, is well tolerated. The more frequent unwanted effects associated with almost all drugs of this class are weight gain, drowsiness, dizziness and tremor. Topiramate has recently been proposed for the treatment of unresponsive, high frequency migraine, taking into account both the GABA and glutamatergic mechanisms of action.","topiramate has recently been proposed for the treatment of unresponsive, high frequency migraine, taking into account both the gaba and glutamatergic mechanisms of action.",,Correct,,"in conclusion, these results suggest that topiramate is\neffective in the prophylactic treatment of migraine.",,,Correct,,No,Yes,No,,Yes
/articles.txt.I-N/J_Food_Sci/J_Food_Sci_2010_Sep_75(7)_R131-R138.txt,"The generation of off-flavors in soybean homogenates such as n-hexanal via the lipoxygenase (LOX) pathway can be a problem in the processed food industry. Previous studies have examined the effect of using soybean varieties missing one or more of the 3 LOX isozymes on n-hexanal generation. A dynamic mathematical model of the soybean LOX pathway using ordinary differential equations was constructed using parameters estimated from existing data with the aim of predicting how n-hexanal generation could be reduced. Time-course simulations of LOX-null beans were run and compared with experimental results. Model L2, L3, and L12 beans were within the range relative to the wild type found experimentally, with L13 and L23 beans close to the experimental range. Model L1 beans produced much more n-hexanal relative to the wild type than those in experiments. Sensitivity analysis indicates that reducing the estimated Km parameter for LOX isozyme 3 (L-3) would improve the fit between model predictions and experimental results found in the literature. The model also predicts that increasing L-3 or reducing L-2 levels within beans may reduce n-hexanal generation.",sensitivity analysis indicates that reducing the estimated km parameter for lox isozyme 3 (l-3) would improve the fit between model predictions and experimental results found in the literature.,,Correct,,sensitivity analysis indicates that reducing the estimated km parameter for lox isozyme 3 (l-3) would improve the fit between model predictions and experimental results found in the literature.,,,Correct,,Yes,Yes,No,,Yes
/articles.txt.I-N/J_Health_Commun/J_Health_Commun_2011_Mar_1_16(3)_245-263.txt,"Legal, procedural, and institutional restrictions on safe abortion services—such as laws forbidding the practice or policies preventing donors from supporting groups who provide legal services—remain a major access barrier for women worldwide. However, even when abortion services are legal, women face social and cultural barriers to accessing safe abortion services and preventing unwanted pregnancy. Interpersonal communication interventions play an important role in overcoming these obstacles, including as part of broad educational- and behavioral-change efforts. This article presents results from an interpersonal communication behavior change pilot intervention, Dialogues for Life, undertaken in Nepal from 2004 to 2006, after abortion was legalized in 2002. The project aimed to encourage and enable women to prevent unplanned pregnancies and unsafe abortions and was driven by dialogue groups and select community events. The authors’ results confirm that a dialogue-based interpersonal communication intervention can help change behavior and that this method is feasible in a low-resource, low-literacy setting. Dialogue groups play a key role in addressing sensitive and stigmatizing health issues such as unsafe abortion and in empowering women to negotiate for the social support they need when making decisions about their health.","the authors’ results confirm that a dialogue-based interpersonal communication intervention can help change behavior and that this method is feasible in a low-resource, low-literacy setting.",,Correct,,key findings here support this body of research.,,,Incorrect,,No,Yes,No,,
