File|Sentence
20_Century_Br_Hist_2015_Sep_27_26(3)_450-476.txt|The case study of PAIN suggests that small groups have been able to mediate between ‘public’ and ‘experts’, effectively working with both groups because of their ability to combine experience and professionalism.
3_Biotech_2016_Dec_13_6(1)_58.txt|Gene expression analysis using real-time PCR showed that the NOTCH1 gene was significantly overexpressed in patients with IDC.
AAPS_J_2016_Jan_28_18(2)_465-475.txt|Our data demonstrate that human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.
Acta_Biomater_2015_Jun_19_149-157.txt|Here, we show for the first time the recrystallization of the wild-type S-layer glycoprotein wtSgsE from Geobacillus stearothermophilus NRS 2004/3a and its recombinantly produced non-glycosylated form, rSgsE, on gold sensor surfaces.
Adapt_Behav_2016_Oct_12_24(5)_267-291.txt|Our results indicate that pleasure, including pleasure unrelated to need satisfaction, has value for homeostatic management in terms of improved viability and increased flexibility in adaptive behavior.
Aging_Cell_2012_Aug_11(4)_694-703.txt|In conclusion, sustained epigenetic differences arise from early adulthood to old age and contribute to an increasing discordance of MZ twins during aging.
AIMS_Public_Health_2015_Dec_2_2(4)_762-783.txt|Findings suggest that predictive characteristics vary according to diverter group.
Alzheimers_Dement_2013_Nov_9(6)_649-656.txt|We found a strong gradient effect in the direct association between dementia severity and reported weight loss, homogeneous across sites from eight countries, consistent with mechanistic data on the role of neurodegenerative processes on energy balance and with dietary changes due to disease severity.
Am_J_Med_2015_Feb_128(2)_152-160_e4.txt|These data suggest that maintaining and improving adherence to healthy dietary recommendations may reduce the risk of long-term inflammation.
Ann_Hum_Genet_2016_May_22_80(3)_187-196.txt|We suggest that studying consanguineous populations “as a whole” can speed up the characterisation of novel gene functions as well as indicating nonessential genes and/or regions in the human genome.
Ann_Oncol_2016_Oct_8_27(10)_1959-1965.txt|We show that cfDNA can reveal tumour evolution and subclonal responses to therapy even when biopsies are not available.
Anthropol_Forum_2016_Apr_2_26(2)_1382-154.txt|In the context of the Thai food retail transition, we propose that trust affects relationships between consumers and (1) individual fresh market-based vendors, (2) the food products sold at fresh markets and (3) the food retail system more broadly.
Anticancer_Drugs_2016_Mar_1_27(3)_216-224.txt|Our data provide experimental support for metronomic VRL by showing that a protracted low dose outperforms pulsed high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.
Appl_Phys_B_2015_Jul_28_120(4)_609-615.txt|Applications of this instrument include supplementation of existing monitoring networks to provide denser global coverage, providing validation for larger satellite missions, and targeting regions of carbon flux uncertainty.
Arch_Microbiol_2016_Jun_23_198(10)_987-993.txt|Our results indicate that the plant hormone indole-3-acetic acid production and iron acquisition are plausibly involved in the plant and Acidobacteria interactions.
Arterioscler_Thromb_Vasc_Biol_2016_Jun_25_36(6)_1174-1185.txt|ATLOs orchestrate dichotomic, territorialized, and multilayered B-cell responses in the diseased aorta, germinal center reactions indicate generation of autoimmune B cells within the diseased arterial wall during aging.
Austral_Ecol_2015_Apr_25_40(2)_151-159.txt|These findings emphasize the need for locally calibrated forest carbon estimates if accurate landscape level valuation and monetization of carbon is to be achieved.
Behav_Brain_Funct_2005_Apr_22_1_4.txt|A passive, dishabituation paradigm provides results similar to studies requiring overt responses.
Behav_Brain_Funct_2014_Mar_19_10_9.txt|Our results suggested that emotion-related creativity-promoting mechanism may be attributed to short-term meditation.
Behav_Processes_2016_Jan_122_36-42.txt|The results demonstrate that the strength of blocking in mice is dependent on the modality and experience of the blocking cue.
Biol_Open_2013_Jun_3_2(8)_845-854.txt|Our data support a dynamic model in which deep cells during epiboly migrate into space opening between the EVL and the yolk syncytial layer.
Biomed_Rep_2014_May_12_2(3)_349-353.txt|In conclusion, heptanol significantly decreased the incidence of VT and VF induced by regional ischemia and prolonged the PR interval, QT interval and MAPD90.
Biomed_Rep_2015_Nov_24_3(6)_787-791.txt|The results suggest that the consumption of FPP is beneficial for the colonic luminal environment in rats fed a high-fat diet.
Biomed_Spectrosc_Imaging_2013_2(4)_301-315.txt|Our results bring a new insight not only to the effects of long-term GI dietary practices of the public but also to the molecular and chemical foundation behind the cardiovascular disease pathogenesis commonly seen in diabetic patients.
Biophys_Chem_2016_Nov_218_42-46.txt|We show that when we consider both lysine and arginine AGEs, they exhibit a prevalence to form within the gap region of the collagen fibril.
Biotechnol_J_2012_Mar_11_7(3)_354-360.txt|Overall, our results suggest that the ribosomal exit tunnel proteins may be key targets for optimizing the overproduction of active, structurally complex recombinant proteins in bacterial cells.
Biotechnol_J_2016_Apr_29_11(4)_473-486.txt|This approach provides a systematic method for microcarrier selection, and the findings identify potentially significant bioprocessing implications for microcarrier?based allogeneic cell therapy manufacture.
BMC_Blood_Disord_2005_Jul_25_5_5.txt|We conclude that there is a significant inverse relationship of total blood lymphocyte counts and severity of iron overload in hemochromatosis probands with HFE C282Y homozygosity.
BMC_Microbiol_2016_Sep_29_16_226.txt|The results indicate that the various components of L. amylovorus DSM 16698T cell wall may counteract the damage caused by F4+ETEC through different mechanisms.
BMC_Nucl_Med_2006_Feb_17_6_1.txt|Our study suggests that multiple perfusion abnormalities with different levels of severity are common in cardiac syndrome X, with more than 30 % of these patients having at least one abnormal perfusion segment.
BMC_Obes_2015_Sep_16_2_33.txt|Children living in workless households or where two parents are full-time employed have increased risks of overweight.
BMC_Psychiatry_2004_Nov_4_4_37.txt|Although psychopathology clearly mediates suicide risk, gender and geographical differences seem to exist in the relative proportion of the specific psychiatric disorders found among suicide completers.
Brain_Res_2009_Jan_9_1247_221-234.txt|The model supports the coincidence detection hypothesis, and suggests that differences in excitatory innervation and dendritic filtering constant are important factors to consider when accounting for the variation in response characteristics seen in VCN onset units.
Breastfeed_Med_2016_Apr_1_11(3)_133-137.txt|Conclusions: Very preterm infants who received an HM-derived cream supplement were discharged earlier.
Bull_Volcanol_2015_Sep_7_77(10)_85.txt|Analysis of ground deformation suggests the eruption was fed by a shallow, NW–SE-trending dike, which is consistent with field and satellite observations of vent distributions.
Cancer_2012_Nov_1_118(21)_5210-5216.txt|The results of the current study demonstrated that serial monitoring of EGFR mutations in plasma DNA is feasible and may allow for the early detection of resistance mutations.
Cancer_2014_Dec_15_120(24)_3896-3901.txt|Comprehensive LR testing in conjunction with full gene sequencing is an appropriate strategy for clinical BRCA1/2 analysis.
Cell_Mol_Immunol_2016_Sep_11_13(5)_578-583.txt|Thus, neddylation contributes to HSV-1-induced early phase IFN-? production through, at least partially, promoting NF-?B activation.
Cell_Stress_Chaperones_2015_Nov_6_20(6)_951-957.txt|In vivo, this interaction was demonstrated only when htpG was expressed from a high copy number plasmid.
Chembiochem_2013_Oct_11_14(15)_1973-1981.txt|The structure of a NagZ–inhibitor complex provides insight into the molecular basis for inhibition by these compounds.
Chemistry_2013_Nov_4_19(45)_15199-15209.txt|This showed that the two potent iodido complexes, 2 (NSC: D-758116/1) and 4 (NSC: D-758118/1), share surprisingly similar cancer cell selectivity patterns with the anti-microtubule drug, vinblastine sulfate.
Child_Adolesc_Ment_Health_2015_Nov_18_20(4)_210-217.txt|The HUMS is as a promising instrument for screening musical engagement that is indicative of proneness for depression in youth.
Clin_Exp_Med_2016_May_24_16_317-332.txt|Our study showed that CTLA-4 affects the expression of the key regulators of G1 phase progression in CLL cells as well as in normal B lymphocytes and may contribute to a better understanding of the role of CTLA-4 in the regulation of G1 phase progression.
Cogn_Dev_2013_Jul_28(3)_290-299.txt|These different developmental patterns provide further evidence that risk and valence are fundamentally dissociable constructs and have different influences on decisions across adolescence.
Comput_Biol_Chem_2016_Aug_63_52-61.txt|Taken together, this analysis demonstrates the divergent characteristics of genes based on their CV.
Comput_Methods_Appl_Mech_Eng_2015_Jun_15_290_362-386.txt|Numerical experiments underline the theoretical findings and show that the proposed adaptive strategy leads to optimal convergence.
Conscious_Cogn_2014_Jul_27(100)_233-245.txt|Thus, we conclude that conscious awareness might be a prerequisite for holistic face processing.
Contemp_Clin_Trials_2013_Sep_36(1)_68-80.txt|INDEX will be the first multi-centre, medium term follow-up trial to evaluate the outcomes of a tissue preserving strategy for men with localised prostate cancer using the TPM-ablate-TPM strategy.
Crim_Justice_Behav_2014_Dec_41(12)_1437-1457.txt|Overall, these results indicated that the YLS/CMI-SV is a useful measure for assessing the levels of risk for male youth offenders, and more investigation is needed to determine the suitability of the YLS/CMI-SV for the female youth offenders.
Curr_Genet_2016_Jan_21_62_595-605.txt|Taking these findings together, we conclude that the main components of the PHO pathway identified in S. cerevisiae are conserved in the methylotrophic yeast H. polymorpha, even though these organisms separated from each other before duplication of the whole genome.
Curr_Microbiol_2016_Jun_21_73(4)_463-473.txt|Our results indicate a diverse wound microbiota including fifty-three bacterial species that showed 90 % colonization by at least one species of Staphylococcus.
Dev_Cell_2013_Aug_26_26(4)_381-392.txt|We show that PHD1 function is required for centrosome duplication and maturation through modification of the critical centrosome component Cep192.
Development_2014_Dec_15_141(24)_4827-4830.txt|Here we show by phenotypic rescue that the CRISPR/Cas system can be used to target and repair a premature stop codon at the albino (alb) locus in zebrafish with high efficiency and precision.
Dyslexia_2012_Feb_18(1)_1-15.txt|Self-report scales of reading and of attention difficulties are useful for identifying adults with reading and attention difficulties which may confer risks on their children of related problems.
Ecology_2016_Aug_1_97(8)_1919-1928.txt|This study integrates a unique set of demographic and covariate data and highlights the benefits of using a single estimation framework to examine the links between covariates, demographic rates and population dynamics.
EMBO_Rep_2013_Jul_17_14(7)_622-628.txt|For two miRNA genes, MIR163 and MIR161, we show that introns are crucial for the accumulation of proper levels of mature miRNA.
