Sentence|Atomic|Independent|Declarative|Absolute|AIDA|Rewritten_Sentence
The case study of PAIN suggests that small groups have been able to mediate between public and experts, effectively working with both groups because of their ability to combine experience and professionalism.|False|True|True|False|False|Small groups have been able to mediate between public and experts, effectively working with both groups because of their ability to combine experience and professionalism.
Gene expression analysis using real-time PCR showed that the NOTCH1 gene was significantly overexpressed in patients with IDC.|True|True|True|False|False|The NOTCH1 gene is overexpressed in patients with IDC.
Our data demonstrate that human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.|True|False|True|False|False|Human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.
Here, we show for the first time the recrystallization of the wild-type S-layer glycoprotein wtSgsE from Geobacillus stearothermophilus NRS 2004/3a and its recombinantly produced non-glycosylated form, rSgsE, on gold sensor surfaces.|False|False|True|False|False|Here, we show for the first time the recrystallization of the wild-type S-layer glycoprotein wtSgsE from Geobacillus stearothermophilus NRS 2004/3a and its recombinantly produced non-glycosylated form, rSgsE, on gold sensor surfaces.
Our results indicate that pleasure, including pleasure unrelated to need satisfaction, has value for homeostatic management in terms of improved viability and increased flexibility in adaptive behavior.|False|False|True|False|False|Pleasure, including pleasure unrelated to need satisfaction, has value for homeostatic management in terms of improved viability and increased flexibility in adaptive behavior.
In conclusion, sustained epigenetic differences arise from early adulthood to old age and contribute to an increasing discordance of MZ twins during aging.|True|True|True|False|False|In conclusion, sustained epigenetic differences arise from early adulthood to old age and contribute to an increasing discordance of MZ twins during aging.
Conclusion Findings suggest that predictive characteristics vary according to diverter group.|True|True|True|False|False|Predictive characteristics vary according to diverter group.
Conclusions We found a strong gradient effect in the direct association between dementia severity and reported weight loss, homogeneous across sites from eight countries, consistent with mechanistic data on the role of neurodegenerative processes on energy balance and with dietary changes due to disease severity.|True|False|True|False|False|We found a strong gradient effect in the direct association between dementia severity and reported weight loss, homogeneous across sites from eight countries, consistent with mechanistic data on the role of neurodegenerative processes on energy balance and with dietary changes due to disease severity.
Conclusions These data suggest that maintaining and improving adherence to healthy dietary recommendations may reduce the risk of long-term inflammation.|False|False|True|False|False|Maintaining and improving adherence to healthy dietary recommendations reduce the risk of long-term inflammation.
We suggest that studying consanguineous populations as a whole can speed up the characterisation of novel gene functions as well as indicating nonessential genes and/or regions in the human genome.|False|False|True|False|False|Studying consanguineous populations as a whole speeds up the characterisation of novel gene functions as well as indicating nonessential genes and/or regions in the human genome.
Conclusion We show that cfDNA can reveal tumour evolution and subclonal responses to therapy even when biopsies are not available.|True|False|True|False|False|CfDNA reveals tumour evolution and subclonal responses to therapy even when biopsies are not available.
In the context of the Thai food retail transition, we propose that trust affects relationships between consumers and (1) individual fresh market-based vendors, (2) the food products sold at fresh markets and (3) the food retail system more broadly.|True|False|True|False|False|Trust affects relationships between consumers and (1) individual fresh market-based vendors, (2) the food products sold at fresh markets and (3) the food retail system more broadly.
Our data provide experimental support for metronomic VRL by showing that a protracted low dose outperforms pulsed high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.|True|False|True|False|False|A protracted low dose outperforms pulse high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.
Also presented here are preliminary retrieval analysis and the performance analysis that demonstrate that the Mini-LHR responds extremely well to changes in the atmospheric absorption.|True|True|True|False|False|The Mini-LHR responds extremely well to changes in the atmospheric absorption.
In addition, we show that Acidobacteria strains produce exopolysaccharide which supports the adhesion of bacteria to the root surfaces.|False|False|True|False|False|Acidobacteria strains produce exopolysaccharide which supports the adhesion of bacteria to the root surfaces.
Conclusions ATLOs orchestrate dichotomic, territorialized, and multilayered B-cell responses in the diseased aorta, germinal center reactions indicate generation of autoimmune B cells within the diseased arterial wall during aging.|True|True|True|False|False|ATLOs orchestrate dichotomic, territorialized, and multilayered B-cell responses in the diseased aorta, germinal center reactions indicate generation of autoimmune B cells within the diseased arterial wall during aging.
We analysed all trees >1 cm in diameter at breast height (DBH) in Melanesia's largest forest plot (Wanang) to assess local spatial variation and the role of small trees in carbon storage.|False|False|True|False|False|We analysed all trees >1 cm in diameter at breast height (DBH) in Melanesia's largest forest plot (Wanang) to assess local spatial variation and the role of small trees in carbon storage.
Results Comparisons between responses to speech and silence revealed strong responses throughout the extent of superior temporal gyrus (STG) bilaterally.|True|False|True|False|False|Comparisons between responses to speech and silence revealed strong responses throughout the extent of superior temporal gyrus (STG) bilaterally.
Results As predicted, the results indicated that short-term (30 min per day for 7 days) IBMT improved creativity performance on the divergent thinking task, and yielded better emotional regulation than RT.|False|False|True|False|False|Short-term (30 min per day for 7 days) IBMT improved creativity performance on the divergent thinking task, and yielded better emotional regulation than RT.
The results demonstrate that the strength of blocking in mice is dependent on the modality and experience of the blocking cue.|True|False|True|False|False|The strength of blocking in mice is dependent on the modality and experience of the blocking cue.
Our data support a dynamic model in which deep cells during epiboly migrate into space opening between the EVL and the yolk syncytial layer.|True|False|False|False|False|Our data support a dynamic model in which deep cells during epiboly migrate into space opening between the EVL and the yolk syncytial layer.
In conclusion, heptanol significantly decreased the incidence of VT and VF induced by regional ischemia and prolonged the PR interval, QT interval and MAPD90.|True|True|True|False|False|In conclusion, heptanol decreased the incidence of VT and VF induced by regional ischemia and prolonged the PR interval, QT interval and MAPD90.
The results suggest that the consumption of FPP is beneficial for the colonic luminal environment in rats fed a high-fat diet.|True|False|True|False|False|The consumption of FPP is beneficial for the colonic luminal environment in rats fed a high-fat diet.
Our results bring a new insight not only to the effects of long-term GI dietary practices of the public but also to the molecular and chemical foundation behind the cardiovascular disease pathogenesis commonly seen in diabetic patients.|False|False|True|False|False|Our results bring a new insight not only to the effects of long-term GI dietary practices of the public but also to the molecular and chemical foundation behind the cardiovascular disease pathogenesis commonly seen in diabetic patients.
We have also conducted a comparison of these positions with those of the more abundant glucosepane cross-link, to determine any site preference.|True|False|True|False|False|We have also conducted a comparison of these positions with those of the more abundant glucosepane cross-link, to determine any site preference.
Overall, our results suggest that the ribosomal exit tunnel proteins may be key targets for optimizing the overproduction of active, structurally complex recombinant proteins in bacterial cells.|False|False|True|False|False|The ribosomal exit tunnel proteins are key targets for optimizing the overproduction of active, structurally complex recombinant proteins in bacterial cells.
This approach provides a systematic method for microcarrier selection, and the findings identify potentially significant bioprocessing implications for microcarrier-based allogeneic cell therapy manufacture.|False|False|True|False|False|This approach provides a systematic method for microcarrier selection, and the findings identify  bioprocessing implications for microcarrier-based allogeneic cell therapy manufacture.
Conclusion We conclude that there is a significant inverse relationship of total blood lymphocyte counts and severity of iron overload in hemochromatosis probands with HFE C282Y homozygosity.|True|False|True|False|False|There is a inverse relationship of total blood lymphocyte counts and severity of iron overload in hemochromatosis probands with HFE C282Y homozygosity.
Conclusions The results indicate that the various components of L. amylovorus DSM 16698T cell wall may counteract the damage caused by F4+ETEC through different mechanisms.|False|False|True|False|False|The various components of L. amylovorus DSM 16698T cell wall counteracts the damage caused by F4+ETEC through different mechanisms.
Conclusion Our study suggests that multiple perfusion abnormalities with different levels of severity are common in cardiac syndrome X, with more than 30 % of these patients having at least one abnormal perfusion segment.|False|False|True|False|False|Multiple perfusion abnormalities with different levels of severity are common in cardiac syndrome X, with more than 30 % of these patients having at least one abnormal perfusion segment.
These findings may imply the need for changes to enable parents to maintain healthy lifestyles for their children in the face of wider obesogenic influences.|True|False|True|False|False|These findings imply the need for changes to enable parents to maintain healthy lifestyles for their children in the face of wider obesogenic influences.
This study provides overall rates of total and specific psychiatric disorders in suicide completers and presents evidence supporting gender and geographic differences in their relative proportion.|True|False|True|False|False|This study provides overall rates of total and specific psychiatric disorders in suicide completers and presents evidence supporting gender and geographic differences in their relative proportion.
We show that a simple point neuron receiving convergent inputs from high-spontaneous rate auditory nerve (AN) fibers, with no special currents and no peri-stimulatory shifts in firing threshold, is sufficient to produce much of the diversity seen experimentally.|True|False|True|False|False|A simple point neuron receiving convergent inputs from high-spontaneous rate auditory nerve (AN) fibers, with no special currents and no peri-stimulatory shifts in firing threshold, is sufficient to produce much of the diversity seen experimentally.
Materials and Methods: In a prospective multicenter randomized study, infants with birth weights 750-1,250g were assigned to a Control or Cream group.|True|True|True|False|False|Materials and Methods: In a prospective multicenter randomized study, infants with birth weights 750-1,250g are assigned to a Control or Cream group.
Analysis of ground deformation suggests the eruption was fed by a shallow, NWSE-trending dike, which is consistent with field and satellite observations of vent distributions.|True|True|True|False|False|Analysis of ground deformation suggests the eruption is fed by a shallow, NWSE-trending dike, which is consistent with field and satellite observations of vent distributions.
Elective patients did not meet the high-risk criteria, but underwent LR testing as ordered by the referring health care provider.|False|True|True|False|False|Elective patients do not meet the high-risk criteria, but underwent LR testing as ordered by the referring health care provider.
Most interestingly, the results of the current study demonstrated that monitoring the EGFR mutations in the blood allows for the detection of the T790M mutation up to 344 days before disease progression is clinically evident (range, 15-344 days).|True|False|True|False|False|Monitoring the EGFR mutations in the blood allows for the detection of the T790M mutation up to 344 days before disease progression is clinically evident (range, 15-344 days).
