File|Sentence
20_Century_Br_Hist_2015_Sep_27_26(3)_450-476.txt|The case study of PAIN suggests that small groups have been able to mediate between public and experts, effectively working with both groups because of their ability to combine experience and professionalism.
3_Biotech_2016_Dec_13_6(1)_58.txt|Gene expression analysis using real-time PCR showed that the NOTCH1 gene was significantly overexpressed in patients with IDC.
AAPS_J_2016_Jan_28_18(2)_465-475.txt|Our data demonstrate that human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.
Acta_Biomater_2015_Jun_19_149-157.txt|Here, we show for the first time the recrystallization of the wild-type S-layer glycoprotein wtSgsE from Geobacillus stearothermophilus NRS 2004/3a and its recombinantly produced non-glycosylated form, rSgsE, on gold sensor surfaces.
Adapt_Behav_2016_Oct_12_24(5)_267-291.txt|Our results indicate that pleasure, including pleasure unrelated to need satisfaction, has value for homeostatic management in terms of improved viability and increased flexibility in adaptive behavior.
Aging_Cell_2012_Aug_11(4)_694-703.txt|In conclusion, sustained epigenetic differences arise from early adulthood to old age and contribute to an increasing discordance of MZ twins during aging.
AIMS_Public_Health_2015_Dec_2_2(4)_762-783.txt|Conclusion Findings suggest that predictive characteristics vary according to diverter group.
Alzheimers_Dement_2013_Nov_9(6)_649-656.txt|Conclusions We found a strong gradient effect in the direct association between dementia severity and reported weight loss, homogeneous across sites from eight countries, consistent with mechanistic data on the role of neurodegenerative processes on energy balance and with dietary changes due to disease severity.
Am_J_Med_2015_Feb_128(2)_152-160_e4.txt|Conclusions These data suggest that maintaining and improving adherence to healthy dietary recommendations may reduce the risk of long-term inflammation.
Ann_Hum_Genet_2016_May_22_80(3)_187-196.txt|We suggest that studying consanguineous populations as a whole can speed up the characterisation of novel gene functions as well as indicating nonessential genes and/or regions in the human genome.
Ann_Oncol_2016_Oct_8_27(10)_1959-1965.txt|Conclusion We show that cfDNA can reveal tumour evolution and subclonal responses to therapy even when biopsies are not available.
Anthropol_Forum_2016_Apr_2_26(2)_1382-154.txt|In the context of the Thai food retail transition, we propose that trust affects relationships between consumers and (1) individual fresh market-based vendors, (2) the food products sold at fresh markets and (3) the food retail system more broadly.
Anticancer_Drugs_2016_Mar_1_27(3)_216-224.txt|Our data provide experimental support for metronomic VRL by showing that a protracted low dose outperforms pulsed high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.
Appl_Phys_B_2015_Jul_28_120(4)_609-615.txt|Also presented here are preliminary retrieval analysis and the performance analysis that demonstrate that the Mini-LHR responds extremely well to changes in the atmospheric absorption.
Arch_Microbiol_2016_Jun_23_198(10)_987-993.txt|In addition, we show that Acidobacteria strains produce exopolysaccharide which supports the adhesion of bacteria to the root surfaces.
Arterioscler_Thromb_Vasc_Biol_2016_Jun_25_36(6)_1174-1185.txt|Conclusions ATLOs orchestrate dichotomic, territorialized, and multilayered B-cell responses in the diseased aorta, germinal center reactions indicate generation of autoimmune B cells within the diseased arterial wall during aging.
Austral_Ecol_2015_Apr_25_40(2)_151-159.txt|We analysed all trees >1 cm in diameter at breast height (DBH) in Melanesia's largest forest plot (Wanang) to assess local spatial variation and the role of small trees in carbon storage.
Behav_Brain_Funct_2005_Apr_22_1_4.txt|Results Comparisons between responses to speech and silence revealed strong responses throughout the extent of superior temporal gyrus (STG) bilaterally.
Behav_Brain_Funct_2014_Mar_19_10_9.txt|Results As predicted, the results indicated that short-term (30 min per day for 7 days) IBMT improved creativity performance on the divergent thinking task, and yielded better emotional regulation than RT.
Behav_Processes_2016_Jan_122_36-42.txt|The results demonstrate that the strength of blocking in mice is dependent on the modality and experience of the blocking cue.
Biol_Open_2013_Jun_3_2(8)_845-854.txt|Our data support a dynamic model in which deep cells during epiboly migrate into space opening between the EVL and the yolk syncytial layer.
Biomed_Rep_2014_May_12_2(3)_349-353.txt|In conclusion, heptanol significantly decreased the incidence of VT and VF induced by regional ischemia and prolonged the PR interval, QT interval and MAPD90.
Biomed_Rep_2015_Nov_24_3(6)_787-791.txt|The results suggest that the consumption of FPP is beneficial for the colonic luminal environment in rats fed a high-fat diet.
Biomed_Spectrosc_Imaging_2013_2(4)_301-315.txt|Our results bring a new insight not only to the effects of long-term GI dietary practices of the public but also to the molecular and chemical foundation behind the cardiovascular disease pathogenesis commonly seen in diabetic patients.
Biophys_Chem_2016_Nov_218_42-46.txt|We have also conducted a comparison of these positions with those of the more abundant glucosepane cross-link, to determine any site preference.
Biotechnol_J_2012_Mar_11_7(3)_354-360.txt|Overall, our results suggest that the ribosomal exit tunnel proteins may be key targets for optimizing the overproduction of active, structurally complex recombinant proteins in bacterial cells.
Biotechnol_J_2016_Apr_29_11(4)_473-486.txt|This approach provides a systematic method for microcarrier selection, and the findings identify potentially significant bioprocessing implications for microcarrier-based allogeneic cell therapy manufacture.
BMC_Blood_Disord_2005_Jul_25_5_5.txt|Conclusion We conclude that there is a significant inverse relationship of total blood lymphocyte counts and severity of iron overload in hemochromatosis probands with HFE C282Y homozygosity.
BMC_Microbiol_2016_Sep_29_16_226.txt|Conclusions The results indicate that the various components of L. amylovorus DSM 16698T cell wall may counteract the damage caused by F4+ETEC through different mechanisms.
BMC_Nucl_Med_2006_Feb_17_6_1.txt|Conclusion Our study suggests that multiple perfusion abnormalities with different levels of severity are common in cardiac syndrome X, with more than 30 % of these patients having at least one abnormal perfusion segment.
BMC_Obes_2015_Sep_16_2_33.txt|These findings may imply the need for changes to enable parents to maintain healthy lifestyles for their children in the face of wider obesogenic influences.
BMC_Psychiatry_2004_Nov_4_4_37.txt|This study provides overall rates of total and specific psychiatric disorders in suicide completers and presents evidence supporting gender and geographic differences in their relative proportion.
Brain_Res_2009_Jan_9_1247_221-234.txt|We show that a simple point neuron receiving convergent inputs from high-spontaneous rate auditory nerve (AN) fibers, with no special currents and no peri-stimulatory shifts in firing threshold, is sufficient to produce much of the diversity seen experimentally.
Breastfeed_Med_2016_Apr_1_11(3)_133-137.txt|Materials and Methods: In a prospective multicenter randomized study, infants with birth weights 750-1,250g were assigned to a Control or Cream group.
Bull_Volcanol_2015_Sep_7_77(10)_85.txt|Analysis of ground deformation suggests the eruption was fed by a shallow, NWSE-trending dike, which is consistent with field and satellite observations of vent distributions.
Cancer_2012_Nov_1_118(21)_5210-5216.txt|Elective patients did not meet the high-risk criteria, but underwent LR testing as ordered by the referring health care provider.
Cancer_2014_Dec_15_120(24)_3896-3901.txt|Most interestingly, the results of the current study demonstrated that monitoring the EGFR mutations in the blood allows for the detection of the T790M mutation up to 344 days before disease progression is clinically evident (range, 15-344 days).
Cell_Mol_Immunol_2016_Sep_11_13(5)_578-583.txt|Here, we report that neddylation inhibition with MLN4924 or upon UBA3 deficiency led to accumulation of phosphorylated B, impaired B degradation, and impaired NF-B uclear translocation in the early phase of HSV-1 infection even though phosphorylation and nuclear translocation of IRF3 were not affected.
Cell_Stress_Chaperones_2015_Nov_6_20(6)_951-957.txt|An interaction between HtpG and DnaA, the main initiator of DNA replication, was studied both in vivo, using a bacterial two-hybrid system, and in vitro with a modified pull-down assay and by chemical cross-linking.
Chembiochem_2013_Oct_11_14(15)_1973-1981.txt|The structure of a NagZ inhibitor complex provides insight into the molecular basis for inhibition by these compounds.
Chemistry_2013_Nov_4_19(45)_15199-15209.txt|However, no direct effect on tubulin polymerization was found for 2 and 4, an observation that appears to indicate a novel mechanism of action.
Child_Adolesc_Ment_Health_2015_Nov_18_20(4)_210-217.txt|Results The final Healthy-Unhealthy Music Scale (HUMS) consists of 13 items that are divided into Healthy and Unhealthy subscales.
Clin_Exp_Med_2016_May_24_16_317-332.txt|Our study showed that CTLA-4 affects the expression of the key regulators of G1 phase progression in CLL cells as well as in normal B lymphocytes and may contribute to a better understanding of the role of CTLA-4 in the regulation of G1 phase progression.
Cogn_Dev_2013_Jul_28(3)_290-299.txt|Recent research on risky decision-making in adults has shown that both the risk in potential outcomes and their valence (i.e., whether those outcomes involve gains or losses) exert dissociable influences on decisions.
Comput_Biol_Chem_2016_Aug_63_52-61.txt|Conclusions Taken together, this analysis demonstrates the divergent characteristics of genes based on their CV.
Comput_Methods_Appl_Mech_Eng_2015_Jun_15_290_362-386.txt|Numerical experiments underline the theoretical findings and show that the proposed adaptive strategy leads to optimal convergence.
Conscious_Cogn_2014_Jul_27(100)_233-245.txt|Two experiments with three different sets of face stimuli and a subliminal learning procedure converged to show that invisible faces did not influence perception of visible eyes.
Contemp_Clin_Trials_2013_Sep_36(1)_68-80.txt|We describe the study design of an investigator-led UK multi-centre, single arm trial using HIFU to deliver focal therapy for men with localised prostate cancer.
Crim_Justice_Behav_2014_Dec_41(12)_1437-1457.txt|Overall, these results indicated that the YLS/CMI-SV is a useful measure for assessing the levels of risk for male youth offenders, and more investigation is needed to determine the suitability of the YLS/CMI-SV for the female youth offenders.
Curr_Genet_2016_Jan_21_62_595-605.txt|Taking these findings together, we conclude that the main components of the PHO pathway identified in S.A cerevisiae are conserved in the methylotrophic yeast H.A polymorpha, even though these organisms separated from each other before duplication of the whole genome.
Curr_Microbiol_2016_Jun_21_73(4)_463-473.txt|Our results indicate a diverse wound microbiota including fifty-three bacterial species that showed 90% colonization by at least one species of Staphylococcus.
Development_2014_Dec_15_141(24)_4827-4830.txt|Here we show by phenotypic rescue that the CRISPR/Cas system can be used to target and repair a premature stop codon at the albino (alb) locus in zebrafish with high efficiency and precision.
Dev_Cell_2013_Aug_26_26(4)_381-392.txt|We show that PHD1 function is required for centrosome duplication and maturation through modification of the critical centrosome component Cep192.
